Issuer/Borrower Name;"Nation
Region
Description";Matched Region
CotonTchad SN;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Sfl Skarstind Inc;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Murphy Oil USA Inc;"Americas
North America";North America
Northwest Hardwoods Inc;"Americas
North America";North America
Stenprop Ltd;"Europe
Western Europe";Western Europe
Truck And Wheel Automotive SL;"Europe
Western Europe";Western Europe
Ls Support Co Ltd;Japan;Asia
Granite Holdings Us;"Americas
North America";North America
Philip Morris International;"Europe
Western Europe";Western Europe
Sato Kogyo Co Ltd;Japan;Asia
Sierra Nevada Corp;"Americas
North America";North America
Slomin's Inc;"Americas
North America";North America
Southern Towing Co;"Americas
North America";North America
Uponor Oyj;"Europe
Western Europe";Western Europe
Ventas Realty LP;"Americas
North America";North America
MB2 Dental Solutions LLC;"Americas
North America";North America
AVES Rail Rent;"Europe
Western Europe";Western Europe
Concord Owner LP;"Americas
North America";North America
Doc2Doc Lending Inc;"Americas
North America";North America
Cargotec Oyj;"Europe
Western Europe";Western Europe
Yuen Chang Stainless Steel Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
FRONTEO Inc;Japan;Asia
Howden Group Holdings Ltd;"Europe
Western Europe";Western Europe
Brunello Bidco SpA;"Europe
Western Europe";Western Europe
Cassidy Grp Invests Ltd;"Europe
Western Europe";Western Europe
Point Energy Partners Op LLC;"Americas
North America";North America
Sogetrel Reseaux SAS;"Europe
Western Europe";Western Europe
Windgeneration Ireland Ltd;"Europe
Western Europe";Western Europe
Nevel District Heating Acq;"Europe
Western Europe";Western Europe
Yiwu Dongxin Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Taizhou Jiangyan District;"Asia-Pacific (ex Central Asia)
North Asia";Asia
FNM SpA;"Europe
Western Europe";Western Europe
Kalevala Bidco 3 Oy;"Europe
Western Europe";Western Europe
DSP Pau Energy Recovery Unit;"Europe
Western Europe";Western Europe
Konecranes Finance Corp;"Europe
Western Europe";Western Europe
Golub Capital Partners 11 LP;"Americas
North America";North America
Long Island Energy Center;"Americas
North America";North America
CVB Inc;"Americas
North America";North America
Cwtc Multi Family Icav Cw Tc1;"Europe
Western Europe";Western Europe
Union Of The Comoros;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Petroleos Mexicanos SA;"Americas
Central America";Latin America
Renewable Japan Energy;Japan;Asia
Nortegas Energia Distribucion;"Europe
Western Europe";Western Europe
ZTE Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Vaillant GmbH;"Europe
Western Europe";Western Europe
Vopak Terminals Singapore Pte;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Vitro SAB de CV;"Americas
Central America";Latin America
United Co RusAl Ltd;"Eastern Europe
Europe";Central and Eastern Europe
North Sea Midstream Partners;"Europe
Western Europe";Western Europe
Formosa Ha Tinh Steel Corp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Formosa Ha Tinh (Cayman) Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Sthrn Glazers Wine & Spirits;"Americas
North America";North America
Healthcare & Medical;Japan;Asia
Dun & Bradstreet Corp;"Americas
North America";North America
Knowlton Development Corp Inc;"Americas
North America";North America
Brambleton Group LLC;"Americas
North America";North America
XYMAX REIT Investment Corp;Japan;Asia
Alpha Media Holdings LLC;"Americas
North America";North America
Eagle Parent Inc;"Americas
North America";North America
ENPI Group;"Africa/Middle East/Central Asia
Middle East";Africa
Windpark Wohlsdorf GmbH & Co.;"Europe
Western Europe";Western Europe
Jianhu Kaimei Flower & Wood;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Realogy Group LLC;"Americas
North America";North America
Five Below Inc;"Americas
North America";North America
Hefei Rail Transit Line 7;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Housing Taiho Co. Ltd;Japan;Asia
PLHD;Japan;Asia
Nordion Energi AB;"Europe
Western Europe";Western Europe
Gravity AH GK;Japan;Asia
Nippon Denkai Ltd;Japan;Asia
Parksite Inc;"Americas
North America";North America
Tsubakimoto Kogyo Co Ltd;Japan;Asia
Yoke Industrial Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Fcstone Merchant Svcs Llc;"Americas
North America";North America
Fish Marketing Link Inc;Japan;Asia
Vestcom International Inc;"Americas
North America";North America
Daiichi Computer Resources;Japan;Asia
Japack's Inc;Japan;Asia
Benesse Holdings Inc;Japan;Asia
Crossroads Distn Ctr N 4 & 5;"Americas
North America";North America
Xi'an High-Tech Zone City;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Idealwine.Com SA;"Europe
Western Europe";Western Europe
Xuyi Culture Sports And;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Snec Odity;"Europe
Western Europe";Western Europe
First Steamship Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Matsuikozai Co Ltd;Japan;Asia
Lifedrink Company Inc;Japan;Asia
Mcc Food Products Co Ltd;Japan;Asia
Marriott International Inc;"Americas
North America";North America
ENTRY Inc;Japan;Asia
Edulab Inc;Japan;Asia
Moonpig.com;"Europe
Western Europe";Western Europe
Samty Co Ltd;Japan;Asia
Smurfit Kappa Group PLC;"Europe
Western Europe";Western Europe
B&G Food Enterprises LLC;"Americas
North America";North America
AB Concession Venture Sdn Bhd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Hankyu Hanshin Holdings Inc;Japan;Asia
Zeeland Farm Services Inc;"Americas
North America";North America
Verisure Holding AB;"Europe
Western Europe";Western Europe
Dynasty Holding Co Ltd;"Americas
Caribbean";Latin America
Inmarsat Ventures PLC;"Europe
Western Europe";Western Europe
Chailease Royal Leasing Plc;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
WeDoctor Group;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Heorot Power Holdings LLC;"Americas
North America";North America
Clearwater Seafoods LP;"Americas
North America";North America
China Shengmu Organic Milk;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Global InfraCo O (2) Sarl;"Europe
Western Europe";Western Europe
Biossmann Group SAPI de CV;"Americas
Central America";Latin America
Nantong Dahong Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jiangsu Greentown Baihe;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Xi'an Xiaoyan Pagoda Scenic;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Bridgestone Americas Inc;"Americas
North America";North America
Hokkaido Sugar Co Ltd;Japan;Asia
Highly Intl (Hong Kong) Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Network Merchants LLC;"Americas
North America";North America
SM Land (China) Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Tanabe Kogyo Co Ltd;Japan;Asia
W Nippon Expressway Co Ltd;Japan;Asia
Bhavya Cements Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Shanghai Elec (Qidong) Water;"Asia-Pacific (ex Central Asia)
North Asia";Asia
L'OPERAIO KK;Japan;Asia
Yamaden Co Ltd;Japan;Asia
Nleaf Capital Opportunities;"Americas
North America";North America
Century Wind Power Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Wr-Sri Block 6 Llc;"Americas
North America";North America
Ineos Quattro Holdings Uk Ltd;"Europe
Western Europe";Western Europe
Jane Street Capital LLC;"Americas
North America";North America
Beijing Capital(Hong Kong)Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Tracker Connect Pty Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Careismatic Brands Inc;"Americas
North America";North America
Bristol-Myers Squibb Co;"Americas
North America";North America
Octopus Renewables French;"Europe
Western Europe";Western Europe
World 50 Inc;"Americas
North America";North America
Suzhou Xiangcheng Econ &;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Taicang Mingsheng Urban Dvlp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Townsite Solar Parent LLC;"Americas
North America";North America
Townsite Solar InvestCo LLC;"Americas
North America";North America
Red Lobster Mgmt Llc;"Americas
North America";North America
FCS Development P2 LP;"Americas
North America";North America
Lend Lease Funds Mgmt Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
NetApp Inc;"Americas
North America";North America
Overgas Inc AD;"Eastern Europe
Europe";Central and Eastern Europe
Equinix Hyperscale 1 Japan;Japan;Asia
Shandong Iron & Steel Grp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Synopsys Inc;"Americas
North America";North America
Telstra Corp Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Tod's SpA;"Europe
Western Europe";Western Europe
B's International Co Ltd;Japan;Asia
Quetena;"Americas
South America";Latin America
Clover;"Europe
Western Europe";Western Europe
Gaillon Invest II SASU;"Europe
Western Europe";Western Europe
Sci Issy Shift;"Europe
Western Europe";Western Europe
Elemental Infrastructure;"Asia-Pacific (ex Central Asia)
Australasia";Australia
E Fiber;"Europe
Western Europe";Western Europe
Nanjing Yuelin Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
La Pimienta Solar;"Americas
Central America";Latin America
VP 300 SB LLC;"Americas
North America";North America
Cemetery & Headstone Yashiro;Japan;Asia
Jointown Pharm Grp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Zenith Energy Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Barakah One Co Pjsc;"Africa/Middle East/Central Asia
Middle East";Africa
PetroBal Upstream Delta 1 SA;"Americas
Central America";Latin America
National Chemical Carriers Co;"Africa/Middle East/Central Asia
Middle East";Africa
Questel SAS;"Europe
Western Europe";Western Europe
Refoenergy Bita Sas Esp;"Americas
South America";Latin America
TCP Reliable Inc;"Americas
North America";North America
Berrybk Dvlp Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
MCUBS MidCity Investment Corp;Japan;Asia
Omnicotton Inc;"Americas
North America";North America
Sterigenics-Nordion Hldg LLC;"Americas
North America";North America
EF Solare Italia SpA;"Europe
Western Europe";Western Europe
Nanjing Zhongjiao Constr Dvlp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Wuxi Yingshi Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Beton Solutions Mobiles;"Europe
Western Europe";Western Europe
Changzhou Honghui Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Guangdong Hunter Valley;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Extraction Oil & Gas Inc;"Americas
North America";North America
Nexius Inc;"Americas
North America";North America
Wellness Acquisitionco Inc;"Americas
North America";North America
Hyundai Green Power;"Asia-Pacific (ex Central Asia)
North Asia";Asia
JSF Trust Banking Co Ltd;Japan;Asia
Jacobs Engineering Group Inc;"Americas
North America";North America
Zhejiang Petrochemical Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Rekeep SpA;"Europe
Western Europe";Western Europe
Mohegan Tribal Gaming Auth;"Americas
North America";North America
Shindengen Electric Manufactur;Japan;Asia
Pt Tower Bersama;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Vedan Enterprise Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Ammex Corp;"Americas
North America";North America
Br Holdings Corp;Japan;Asia
Borusan Holding AS;"Europe
Eastern Europe";Central and Eastern Europe
GMP Property SOCIMI SA;"Europe
Western Europe";Western Europe
Broadcom Inc;"Americas
North America";North America
Allo Communications LLC;"Americas
North America";North America
HU Group Holdings Inc;Japan;Asia
China Three Gorges Spain Sl;"Europe
Western Europe";Western Europe
ACORE Credit IV REIT Inc;"Americas
North America";North America
Hangzhou Xinyun Industrial;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nine Dragons Paper (Hubei) Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nantong Yinzhou Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jaipur-Mahua Tollway Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Ningbo Shanshan Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Public Service Co of Oklahoma;"Americas
North America";North America
Qumu Corp;"Americas
North America";North America
Agility Public Warehousing Co;"Africa/Middle East/Central Asia
Middle East";Africa
Coml Trailer Leasing Inc;"Americas
North America";North America
Borr Drilling Ltd;"Africa/Middle East/Central Asia
Middle East";Africa
CPI Ronghe Finl Leasing Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jubilant Pharma Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
BP-Dojo LLP;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Binhai Cnty Xinnongyuan;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jiangsu Zhongfu Digital Trade;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Gold Circuit Electronics Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Taiwan Star Telecom Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Australian Tech Innovators;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Leap Legal Software Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Col Giovanni Paolo SpA;"Europe
Western Europe";Western Europe
VM7 Expressway Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Suzhou Tianhong Weiye Re Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Cole-Parmer Instrument Co LLC;"Americas
North America";North America
Charter Manufacturing Co Inc;"Americas
North America";North America
Yoshimuta Co Ltd;Japan;Asia
Fonciere Cronos;"Europe
Western Europe";Western Europe
Autovia Texcoco-Zacatepec SAPI;"Americas
Central America";Latin America
Palladium Eq Partners V Lp;"Americas
North America";North America
Gulf Power Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Sitara Solar Energy Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Yixing Dvlp Invest Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Landgard Nord Obst & Gemuse;"Europe
Western Europe";Western Europe
Black Cat Apts LLC;"Americas
North America";North America
Suzhou Lvhan Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shaoxing Jinchang Zhikun Re;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Suzhou Biwang Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Knot Shuttle Tankers 31 As;"Europe
Western Europe";Western Europe
Next Private Bv;"Europe
Western Europe";Western Europe
Societe Coop Agricole Ceresia;"Europe
Western Europe";Western Europe
Windpk Oldendorf-Kuhla Gmbh &;"Europe
Western Europe";Western Europe
HDR Inc;"Americas
North America";North America
Italcanditi SpA;"Europe
Western Europe";Western Europe
Japan Metals & Chemicals Co;Japan;Asia
Jiangsu Yinbao Hldg Grp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Sci Batipart Chadesrent;"Europe
Western Europe";Western Europe
Medical Properties Trust Inc;"Americas
North America";North America
Metro Pacific Investments Corp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Schroder Uk Public Private Tr;"Europe
Western Europe";Western Europe
Huaian Hongxin State-owned;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hps Specialty Loan Fund V;"Americas
North America";North America
Miroglio Fashion Srl;"Europe
Western Europe";Western Europe
Onward Holdings Co Ltd;Japan;Asia
Pace Gallery;"Americas
North America";North America
Heron Tower Ppty Unit Trust;"Europe
Western Europe";Western Europe
Vertex Bioenergy SL;"Europe
Western Europe";Western Europe
Planview Inc;"Americas
North America";North America
Primoris Services Corp;"Americas
North America";North America
Moda Ingleside Energy LLC;"Americas
North America";North America
Carino Co Ltd;Japan;Asia
Sanno Co Ltd;Japan;Asia
Zhejiang Derong Chem Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Playtika Holding Corp;"Africa/Middle East/Central Asia
Middle East";Africa
CRA International Inc;"Americas
North America";North America
Conner Strong & Buckelew;"Americas
North America";North America
BCEGI (Hong Kong) Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Oriental Rainbow Group Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
AIMCo Realty Investors LP;"Americas
North America";North America
Women's Care Holdings Inc;"Americas
North America";North America
Ascott Residence Trust;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
5 G South LLC;"Americas
North America";North America
Shanghai Huangpu Urban;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Blackstone Floating Rate;"Americas
North America";North America
Kredinor SA;"Europe
Western Europe";Western Europe
Yancheng Dafeng Xingcheng;"Asia-Pacific (ex Central Asia)
North Asia";Asia
SolmeteX Inc;"Americas
North America";North America
Vastned Retail NV;"Europe
Western Europe";Western Europe
IGCF IV VEL LLC;"Americas
North America";North America
Bluefield Solar Farms Acq;"Europe
Western Europe";Western Europe
Artigues Et Ollieres Wind;"Europe
Western Europe";Western Europe
Sr Investimenti Solar Pv;"Europe
Western Europe";Western Europe
Digital Colony Partners LP;"Americas
North America";North America
Pharm Prod Dvlp Inc;"Americas
North America";North America
Unmas AS;"Europe
Eastern Europe";Central and Eastern Europe
Tropicale Foods Llc;"Americas
North America";North America
Project Angel Parent LLC;"Americas
North America";North America
SEMrush Inc;"Americas
North America";North America
BSC Insurance;"Americas
North America";North America
Volvo Car AB;"Europe
Western Europe";Western Europe
Vero Biotech LLC;"Americas
North America";North America
Integrated Specialty Coverages;"Americas
North America";North America
Changshu Se Rural;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Wuxi Fengxiang Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Taihu Cnty Transp Invest Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Pioneer Natural Resources Co;"Americas
North America";North America
Shikoku Ekisan Co Ltd;Japan;Asia
Stern-Wywiol-Euro Lecithin Op;"Europe
Western Europe";Western Europe
Gynesonics Inc;"Americas
North America";North America
AMIU Genova SpA;"Europe
Western Europe";Western Europe
Midwest Vision Partners LLC;"Americas
North America";North America
EBI Operations Inc;"Americas
North America";North America
Rayonier AM;"Americas
North America";North America
Atlanta Falcons Football Club;"Americas
North America";North America
DocuSign Inc;"Americas
North America";North America
Invenergy Outlaw Wind Hldg;"Americas
North America";North America
Danyang High-Tech Zone Invest;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Planful Inc;"Americas
North America";North America
Nbm Us Holdings Inc;"Americas
North America";North America
Suzhou Longfor Foundation Re;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Saudi Automotive Svcs Co Sjsc;"Africa/Middle East/Central Asia
Middle East";Africa
Tachibana & Co Ltd;Japan;Asia
Oat Hldg Ltd;Japan;Asia
Suzhou Weitang Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
eResearchTechnology Inc;"Americas
North America";North America
Drew Solar LLC;"Americas
North America";North America
Daito Kasei Kogyo Co Ltd;Japan;Asia
Suzhou High Speed Rail New;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Future Electronics Corp;"Americas
North America";North America
Good Times Restaurants Inc;"Americas
North America";North America
Government Brands LLC;"Americas
North America";North America
Isola Dei Tesori Srl;"Europe
Western Europe";Western Europe
Tianjin Tianzhi Fine Chem Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kallidus Ltd;"Europe
Western Europe";Western Europe
Jiangsu Chuanghong Asset Mgmt;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Apex Clean Energy Holdings LLC;"Americas
North America";North America
Dai Quang Minh Real Estate JSC;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Kaisa Group Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
E-Da Hospital;"Asia-Pacific (ex Central Asia)
North Asia";Asia
EW Scripps Co;"Americas
North America";North America
SWNS Wind LP;"Americas
North America";North America
Nakamuraseikou Co Ltd;Japan;Asia
Zhenjiang Xuefu Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nanjing Longqian Industrial;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jiangsu Chongming Science And;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Huhtamaki Oyj;"Europe
Western Europe";Western Europe
Aymira LLC;"Americas
North America";North America
Bas Project Corp Sl;"Europe
Western Europe";Western Europe
The Arsenal Football Club PLC;"Europe
Western Europe";Western Europe
Flex Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Grenergy Renovables SA;"Europe
Western Europe";Western Europe
Edgewell Personal Care Co;"Americas
North America";North America
LMIRT Capital Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Elevation Resources Holdings;"Americas
North America";North America
NextWave Holdco LLC;"Americas
North America";North America
Calian Group Ltd;"Americas
North America";North America
Suzhou Jingyu Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nanjing Zhongjin Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jamestown Premier Stafford I;"Americas
North America";North America
Keventer Agro Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Kawazu Sangyo Co Ltd;Japan;Asia
Al Marasem Intl For Dvlp Co;"Africa/Middle East/Central Asia
North Africa";Africa
Nanjing Qinhuai Tech;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Fornax Holding Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Avid Technology Inc;"Americas
North America";North America
Terravet Re Fund III LP;"Americas
North America";North America
Suzhou Taiping Urban-Rural;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kunshan Chuangcheng Urban;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nanjing Chuangqi Tech Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nantong Haorui Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Energia Xxi Comercial;"Europe
Western Europe";Western Europe
Levi Strauss & Co;"Americas
North America";North America
Serena Ppty Finland Hldg Oy;"Europe
Western Europe";Western Europe
Aviation Capital Group LLC;"Americas
North America";North America
MAG IAS GmbH;"Europe
Western Europe";Western Europe
2249158 Investments LP;"Americas
North America";North America
Stella EGRP Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Zhejiang Yuyao Industrial Pk;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Chengdu China Railway Airport;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Zhangjiagang Jinyang Med;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Resolution Life US Hldg Inc;"Americas
North America";North America
Nanjing Jinru Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nanjing Jinhua Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Guangzhou Knowledge City;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Haimen Nanhai Water Affairs;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Eneo Cameroon SA;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
AEP Holdings Inc;"Americas
North America";North America
Palladium Shopping Mall;"Europe
Eastern Europe";Central and Eastern Europe
Suzhou Kailun Polymer New;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Usina De Energia Fotovoltaica;"Americas
South America";Latin America
Western Forest Products Inc;"Americas
North America";North America
Crowdstrike Inc;"Americas
North America";North America
Duo Finl Corp Fka 2624148;"Americas
North America";North America
Norwood Industries Inc;"Americas
North America";North America
Neoenergia Jalapao;"Americas
South America";Latin America
Nanjing Yanchuang Dvlp And;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jiangsu Tianpu Hongxin Tech;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shanghai Xurong Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Guizhou Guijin Expressway Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
JMMB Bank (Jamaica) Ltd;"Americas
Caribbean";Latin America
Icd Brookfield Place;"Africa/Middle East/Central Asia
Middle East";Africa
Doterra International LLC;"Americas
North America";North America
Forest City Trading Group LLC;"Americas
North America";North America
mobilezone holding AG;"Europe
Western Europe";Western Europe
Hc Consumer Fin Philippines;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Grand Foods Invest Hldg Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shinhan Bank;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kuo Yang Environment Tech;"Asia-Pacific (ex Central Asia)
North Asia";Asia
LAC Co Ltd;Japan;Asia
Touchette Group Inc;"Americas
North America";North America
Sun Hung Kai & Co (BVI)Ltd;"Americas
Caribbean";Latin America
Ignitis Group UAB;"Eastern Europe
Europe";Central and Eastern Europe
Be Grp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Busan Bank;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Lightstone Holdco Llc;"Americas
North America";North America
Apex Science & Engineering;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hashemite Kingdom of Jordan;"Africa/Middle East/Central Asia
Middle East";Africa
Ph Renewables Inc;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Livent Inc;"Americas
North America";North America
Lionbridge Capital Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
ITM 21 IntermediateCo Inc;"Americas
North America";North America
Truly Semiconductors Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
EDM Corp;Japan;Asia
WI-UW Holdings LLC;"Americas
North America";North America
ADEKA Corp;Japan;Asia
Austin Industries Inc;"Americas
North America";North America
Bio-Techne Corp;"Americas
North America";North America
Asakura Noriten Co Ltd;Japan;Asia
Mutsumi Corp;Japan;Asia
Jenova Co Ltd;Japan;Asia
KOA Corp;Japan;Asia
Aidma Holdings Inc;Japan;Asia
Jinmao (China) Hotel;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Vail Holdings Inc;"Americas
North America";North America
Medix Staffing Solutions Inc;"Americas
North America";North America
Bluemont Group LLC;"Americas
North America";North America
Wall Recycling LLC;"Americas
North America";North America
Master Concessionair LLC;"Americas
North America";North America
Canvest Envi Protection Grp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hs-Knox Ridge LLC;"Americas
North America";North America
Aflac Inc;"Americas
North America";North America
Buchanan Ingersoll & Rooney PC;"Americas
North America";North America
Piolax Inc;Japan;Asia
Weeks Marine Inc;"Americas
North America";North America
SMART Global Holdings Inc;"Americas
North America";North America
Daiei Real Estate & Dvlp;Japan;Asia
Feed One Co Ltd;Japan;Asia
Shakai Fukushi Hojin Sun;Japan;Asia
He Heng Construction Group;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Sumitomo Mitsui Banking Corp;Japan;Asia
1061 West Van Buren Partners;"Americas
North America";North America
Citygas Hiroshima Co Ltd;Japan;Asia
B-first;Japan;Asia
NihonSafety Co Ltd;Japan;Asia
Shirohato Co Ltd;Japan;Asia
C5-6 Holdings Co Ltd;Japan;Asia
Conagra Brands Inc;"Americas
North America";North America
Geely Automobile Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Lifetime Brands Inc;"Americas
North America";North America
NXP BV;"Europe
Western Europe";Western Europe
Yitoa Micro Technology Corp;Japan;Asia
Yamaman;Japan;Asia
Yoshida Steel Industry Co Ltd;Japan;Asia
Oki Industry Co Ltd;Japan;Asia
RXR Atlas LLC;"Americas
North America";North America
Hillwood Polska Sp zoo;"Eastern Europe
Europe";Central and Eastern Europe
Bosideng Intl Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
